单词,美音,definition,简明释义,精选短语
show,/ ʃoʊ /,to explain or teach how something is done,v. 显示，表明；给……看，出示 n. 演出，歌舞表演；（电视或广播）节目 其他 【名】 （Show）（美、巴西）肖（人名）,show oneself: 露面 | on show: 展览着，在公开展出 | show up: 露面；露出；揭露
life,/ laɪf /,"all the living things (e.g., animals, plants, humans)",n. 生命；人命，性命 adj. 生命的；一生的，终身的,in life: 一生中 | service life: 使用寿命；使用期限；耐用年限 | daily life: 日常生活
man,/ mæn /,an adult male human being,n. 成年男子，男人；人类 v. 负责，操控（某物） int. <美，非正式>（表示惊奇、气愤等）嘿，天哪 其他 【名】 （Man）（俄）马恩，（英、葡、意、罗、捷、尼、老、缅、柬）曼，（日）万（人名）,old man: 情人；丈夫；老头子；父亲 | young man: n. 青年；未婚夫；男友 | no man: 没有人；[口]老喜欢唱反调的人（等于no-man）
change,/ tʃeɪndʒ /,"to make or become different, or into something else",v. 改变，变化；更换，替换 n. 变化，变革；找回的钱，零钱,change in: 在…方面改变 | climate change: 气候变化；气候变迁 | for a change: 为了改变一下；为了换换口味
place,/ pleɪs /,to put something in a certain location or position,n. 地点，场所；城镇（或建筑物等） v. 放置；使处于某种境地 其他 【名】 （Place）（罗）普拉切，（法）普拉斯，（英）普莱斯（人名）,in place: 适当，适当的；在适当的地方，在恰当的位置 | place in: 安排，放置 | take place: 发生；举行
long,/ lɔːŋ /,large distance from one end to the other,adj. 长的；长久的，长期的 adv. 长久地，长期地；很久（以前或以后） v. 渴望 n. 长时间，长时期；长音 其他 【名】 （Long）（美、英、爱）隆（人名）,no longer: 不再 | as long as: 只要；和…一样长 | long time: adj. 长期的（持久的）；长时间；好久好久
between,/ bɪˈtwiːn /,in the space that separates two objects,prep. （空间上）在……中间；（时间上）在……之间 adv. （空间或时间上）介于……之间（in between）,in between: 在中间 | between you and me: 只限于咱俩之间；我们之间的秘密 | between ourselves: 只限于咱们之间；秘密的
feel,/ fiːl /,to be aware of or experience an emotion or sensation,v. 感受到，体会到；觉得，相信 n. 感觉，气氛；触觉，手感,feel oneself: 镇定；感觉很好；觉得身体正常 | feel like: 想要；感到好似 | feel free: 随便，轻松
too,/ tuː /,say that something is more than you want,adv. 太，过于，过度；也，亦，还,me too: 我也是，我也一样 | all too: 实在太… | much too: 太…；非常…
still,/ stɪl /,happening in the past and continuing into the present,adv. 还，依旧；仍然，还是（会或可能） adj. 静止的，不动的；宁静的，寂静的 n. （电影或录像的）定格画面，剧照；（制酒的）蒸馏器 v. （使）静止，平静，安静；使（感情）减轻，使（感情）平息 其他 【名】 （Still）（英、芬、瑞典）斯蒂尔，（德）施蒂尔（人名）,still on: 仍在进行 | still remains: 仍然是 | sit still: 安静地坐着
problem,/ ˈprɑːbləm /,something difficult to deal with or causes trouble,n. 问题，难题，困难；疾病 adj. 难对付的，成问题的,difficult problem: 难题；难问题 | no problem: 没问题 | problem solving: 解决问题
write,/ raɪt /,to make letters and words on paper or a screen,v. 写作，编写；写道,write down: 写下；减低帐面价值；把…描写成 | read and write: 读和写；直读式记录 | write in: 写入；写信提出（请求等）；在选票上加写（非原定候选人的名字）
same,/ seɪm /,identical; not different,adj. 同一的；一模一样的 pron. 同样的人，同样的事物；（数目、颜色、大小、质量等）相同 adv. 同样 其他 【名】 （Same）（意）萨梅（人名）,same time: 同时 | same as: 等同于；与…一致 | same way: 同样；同样的方法；同样的感受
lot,/ lɑːt /,"A large quantity, or number taken together",n. (常sing.) 一群，一批；小块土地 v. （拍卖前）将（商品）分成批组 pron. 大量，许多；所有，全部 adv. 很多地，非常（a lot）,a lot of: 许多 | lots of: [口]许多；大量 | a lot of money: 许多钱
great,/ ɡreɪt /,very good; fantastic; wonderful,adj. 伟大的，著名的；大型的，巨大的 adv. 很好地，很棒地 n. 伟人，伟大的事物；金曲,great deal: 大量 | a great deal of: 大量 | great wall: 万里长城；中国长城计算机集团公司
try,/ traɪ /,"to make an effort, to attempt to do something",v. 试图，努力；试用，试做，试验 n. 试图，努力；试用，试验 其他 【名】 （Try）（英、印尼）特里，（柬）德里（人名）,try and: [口语]争取(做某事)，竭力，尽力(做某事)[此短语不用于由tried或trying构成的各种动词形式] | try again: 再来一次 | try to find: 寻求；寻找
leave,/ liːv /,to go away from; depart,v. 离开（某人或某处）；离开居住地点（或群体、工作单位等） n. 假期，休假；准许，许可,leave for: 动身去 | leave a message: 留言，留口信 | leave behind: 留下；遗留；超过
number,/ ˈnʌmbər /,"symbols such as 1, 2, 56, 793",n. 数字；编号，序数 v. 标号，编号；总计,number of: 许多；数目；若干 | numbers of: 许多，若干 | large number: 大量；多位数
both,/ boʊθ /,used to refer to two things at the same time,det. 双方，两者 pron. 两者 conj. …和…都；……和……都 adj. 两…，双…,both of them: 他们俩都… | both and: 两个都；既...又... | both the two: 两者；并
own,/ oʊn /,"yours, his, hers, etc.; not belonging to another",v. 有，拥有；<旧> 承认 adj. 自己的，属于自己的；自己做的，为自己的 pronoun. 自己的，属于自己的；自己做的，自己生产的 其他 【名】 （Own）（阿拉伯）奥恩（人名）,your own: 你自己的 | on their own: 凭自己的力量，他们自己；静静独处 | of his own: 他自己的；属于他自己的
part,/ pɑːrt /,"some, but not all of a specific thing","n. 部分；某物的部分（局部） v. （使）分开，（使）分离；分别 adv. 既有……又有……（part sth., part sth.）；不完全地，部分地 adj. 部分的，不完全的 其他 【名】 （Part）(英、瑞典）帕特，（泰）巴，（法）帕尔（人名）",part of: 部分的；一部分 | in part: 部分地；在某种程度上 | take part: 参与， 参加
point,/ pɔɪnt /,to indicate something with your finger to others,n. 观点，论点；要点，核心问题 v. 指，指向；对准，瞄准 其他 【名】 （Point）（法）普安（人名）,point of view: 观点；见地；立场 | point out: 指出，指明 | at this point: 这时候，此时此刻
little,/ ˈlɪt(ə)l /,"not great in size, amount, or degree; small",adj. 小的，比较小的；用于强调对某人或某物的意见 det. 一点儿，少得几乎没有；少量的，一些 adv. 极少，轻微；几乎不 pron. 少许 其他 【名】 （Little）（英）利特尔（人名）,little bit: 一点点 | little boy: 小男孩 | little more than: adv. 仅仅是
help,/ help /,to act to enable a person to do something; assist,v. 帮助，援助；改善状况，对……有益 n. 帮助，协助；有助益的东西（如忠告、钱等） int. 救命（呼救用语） 其他 【名】 （Help）（芬）海尔普 （人名）,help oneself: 自用；自取所需 | with the help of: 在…的帮助下 | help someone with something: 帮某人干某事
ask,/ æsk /,to say to someone that you want something,v. 询问，打听；要求，请求 其他 【名】 （Ask）（芬、瑞典）阿斯克（人名）,
meet,/ miːt /,to come together at a certain time or place,v. 结识，被引见；（与某人）会面 n. 运动会，赛事；<非正式>（尤指为不正当的目的）约会，碰头 adj. <古>合适的，恰当的 其他 【名】 （Meet）（英）米特（人名）,meet the needs of: 满足…的需要 | meet the requirements: 符合要求；满足条件 | meet with: 符合；偶然遇见；遭受
start,/ stɑːrt /,first time or place that a thing exists; beginning,v. 开始，着手；（使）发生 n. 开始，开端；启程，启动,start something: [美国口语] 制造麻烦；引起争吵(或打斗) | start with: 从…开始 | start from: 从…开始
talk,/ tɔːk /,to say things or ideas to someone with words,v. 说话，交谈，谈话；谈判，商讨 n. 交谈，讨论；（政府、机构等之间的）正式会谈，谈判,talk about: 谈论某事 | talk to oneself: 自言自语 | talk with: 与…交谈
something,/ ˈsʌmθɪŋ /,thing that is not yet known or named,pron. 某事，某物；……或诸如此类的东西，……什么的 adv. 稍微，有点；很，非常,something else: 别的东西 | or something: 或是什么的；诸如此类的什么 | something like: 有点像；大约；差不多
put,/ pʊt /,to move or place a thing in a particular position,v. 放，放置；猛推，用力插入 n. （铅球或铁饼的）投掷，推；（股票）put option 的简称 adj. 固定不动的 其他 【名】 （Put）（泰、缅）布（人名）,put forward: v. 提出；拿出；放出；推举出 | put in: 提出，提交；放入；种植；使就职 | put on: 穿上；上演；增加；假装；使…上场
another,/ əˈnʌðər /,one more (thing); additional (thing),det. （同类的）另一，又一；（不同类的）另外一个，其他一个 pron. 又一个，再一个；另一个，另一种 adj. 再加一个的；另一的，不同的,one another: 彼此，互相 | for another: 第二；其次 | one after another: adv. 接连地；一个接一个地
become,/ bɪˈkʌm /,to begin to be; grow to be; develop into,v. 变得，变成，成为；适合，使显得漂亮,become one: 成为一体，结合 | become a member: 成为一名成员/会员 | become of: 使遭遇…；…降临于；发生…情况
